IP: 103.21.244.1, Status: Success, Latency: 12.0, Loc: None,None (None)
IP: 103.22.200.1, Status: Success, Latency: 58.0, Loc: 1.2872,103.8507 (Singapore)
IP: 103.31.4.1, Status: Success, Latency: 292.0, Loc: None,None (None)
IP: 104.16.0.1, Status: Success, Latency: 12.0, Loc: None,None (None)
IP: 104.24.0.1, Status: Success, Latency: 12.0, Loc: None,None (None)
IP: 108.162.192.1, Status: Success, Latency: 12.0, Loc: None,None (None)
IP: 131.0.72.1, Status: Success, Latency: None, Loc: 10.0029,-84.0 (Costa Rica)
IP: 141.101.64.1, Status: Fail, Latency: None, Loc: 52.3759,4.8975 (The Netherlands)
IP: 162.158.0.1, Status: Success, Latency: 150.0, Loc: -37.8159,144.9669 (Australia)
IP: 172.64.0.1, Status: Fail, Latency: None, Loc: None,None (None)
IP: 173.245.48.1, Status: Fail, Latency: None, Loc: 37.751,-97.822 (United States)
IP: 188.114.96.1, Status: Success, Latency: 12.0, Loc: None,None (None)
IP: 190.93.240.1, Status: Fail, Latency: None, Loc: None,None (None)
IP: 197.234.240.1, Status: Success, Latency: 348.0, Loc: -26.2309,28.0583 (South Africa)
IP: 198.41.128.1, Status: Fail, Latency: None, Loc: 37.751,-97.822 (United States)
IP: 2400:cb00::1, Status: Fail, Latency: None, Loc: 37.751,-97.822 (United States)
IP: 2606:4700::1, Status: Fail, Latency: None, Loc: None,None (None)
IP: 2803:f800::1, Status: Fail, Latency: None, Loc: 10.0029,-84.0 (Costa Rica)
IP: 2405:b500::1, Status: Fail, Latency: None, Loc: 37.751,-97.822 (United States)
IP: 2405:8100::1, Status: Fail, Latency: None, Loc: 37.751,-97.822 (United States)
IP: 2a06:98c0::1, Status: Fail, Latency: None, Loc: 37.751,-97.822 (United States)
IP: 2c0f:f248::1, Status: Fail, Latency: None, Loc: -4.5833,55.6667 (Seychelles)
Saved latency graph: cloudflare_latency_graph.png
Saved world map (interactive): cloudflare_ip_map.html
